WMS,Transactions,EDI Map (Reference map identified),Scenarios Covered
HJ,940,AMC_DARIGOLD_IB_940_4010 ,"Base Maps for EDI 940 Inbound transaction to HJ (Contains all general 940 scenarios)
Mapping from W01, G69, N9, QTY segments to 2020, 2030, 2040 records
Map uses Americold Specifications"
HJ,940,AMC_GENERAL_MILLS_IB_940_4010,"Base Maps for EDI 940 Inbound transaction to HJ (Contains all general 940 scenarios)
Mapping from LX, W01 segments to 2020, 2040 records.
Map uses Americold Specifications"
HJ,943,AMC_DARIGOLD_IB_943_4010 ,"This map cover all general 943 scenarios and don't having any extra or unwanted logics.
Map uses Americold Specifications"
HJ,943,AMC_FRESH_MARK_IB_943_4010,"We are handling Case details(Case serials and Case weight) in this partner. Multiple N9*SN in particular line Item.
Map uses Americold Specifications"
HJ,947,AMC_DARIGOLD_IB_947_4010,"This inbound map cover all general 947 scenarios. Only 05 and 55 Hold codes.
Map uses Americold Specifications"
HJ,947,AMC_TR_VITA_COCO_IB_947_4010,"This inbound map cover all general 947 scenarios.Using ""AMC_CL_HoldReasonCode_Generic"" Codelist to handle the AMC Hold and Reason code.
Map uses Americold Specifications"
HJ,944,AMC_TR_CAVENDISH_FARMS_OB_944_4010,"This map cover all general 944 scenarios
Map uses Americold Specifications"
HJ,944,AMC_LWESTONSAP_OB_944_5010_HJ,"If 5010 Version required  with including MAN segment in the detail level we can use this partner map as a base map.
Map uses Americold Specifications"
HJ,945,AMC_DARIGOLD_OB_945_4010,"This map cover all general 945 scenarios. Inclused MAN segment and also having grouping logic.
Map uses Americold Specifications"
HJ,945,AMC_FRESH_MARK_OB_945_4010,"Included Roll-Up logic baded on ItemCode,LotCodeFormat and WarehouseLotCode.Multiple N9*SN in particular line Item.(Handling Case Level details for this Partner).
Map uses Americold Specifications"
HJ,947,AMC_DARIGOLD_OB_947_4010,"This outbound map cover all general 947 scenarios.Using ""AMC_CL_HoldReasonCode_Generic"" Codelist to handle the Hold and Reason code.
Map uses Americold Specifications"
HJ,947,AMC_TR_VITA_COCO_OB_947_4010,"This outbound map cover all general 947 scenarios.Using ""AMC_CL_HoldReasonCode_Generic"" Codelist to handle the Hold and Reason code.
Map uses Americold Specifications"
HJ,846,AMC_GENERAL_MILLS_OB_846_4010,"Quantity mapping conditions based on HoldQuantity.
Map uses Americold Specifications"
HJ,846,AMC_TR_CAVENDISH_FARMS_OB_846_4010,"This map cover all general 846 scenarios
Map uses Americold Specifications"
HJ,940,AMC_TR_SUGARCREEKPACKING_IB_940_5010,This map covers SPS Commerce Specifications 5010 version
HJ,943,AMC_TR_SUGARCREEKPACKING_IB_943_5010,This map covers SPS Commerce Specifications 5010 version
HJ,944,AMC_TR_SUGARCREEKPACKING_OB_944_5010,This map covers SPS Commerce Specifications 5010 version
HJ,945,AMC_TR_SUGARCREEKPACKING_OB_945_5010,This map covers SPS Commerce spec 5010 version
HJ,940,AMC_TR_REMBRANDT_FOODS_IB_940_4010,This map covers SPS Commerce Specifications 4010 version
HJ,943,AMC_TR_REMBRANDT_FOODS_IB_943_4010,This map covers SPS Commerce Specifications 4010 version
HJ,947,AMC_TR_REMBRANDT_FOODS_IB_947_4010,This map covers SPS Commerce Specifications 4010 version
HJ,944,AMC_TR_REMBRANDT_FOODS_OB_944_4010,This map covers SPS Commerce Specifications 4010 version
HJ,945,AMC_TR_REMBRANDT_FOODS_OB_945_4010,This map covers SPS Commerce spec 4010 version
HJ,940,AMC_EXPORT_PACKERS_IB_940_4010,This map covers True Commerce Specifications 4010 version
HJ,943,AMC_EXPORT_PACKERS_IB_943_4010,This map covers True Commerce Specifications 4010 version
HJ,944,AMC_EXPORT_PACKERS_OB_944_4010,This map covers True Commerce Specifications 4010 version
HJ,945,AMC_EXPORT_PACKERS_OB_945_4010,This map covers True Commerce spec 4010 version
