WMS,Transactions,EDI Map (Reference map identified),Scenarios Covered
JDA ,943,AMC_SEABOARD_FOODS_IB_943_5010 ,Base Maps for EDI 943 inbound transaction to JDA (Contains about  60-70% of generic mappings)When the inbound EDI 943 contains case-level serials (N9*SE). 
JDA,943,AMC_SIMPLOT_IB_943_4010,"When the inbound EDI 943 includes pallet-level identifiers (N9*LV). 
"
JDA,943,"
AMC_TYSON_IB_943_4010",Inbound 943 transactions include Pallet Level (N9*LV) & Batch Level (N9*PC) in the Line item Level and N9*PIN (Asset Type) at Header Level using CL (AMC_CL_AssetCodes_Generic) codelist to populate Americold Chep item
JDA,943,AMC_TR_TRIDENT_SEAFOODS_IB_943_4010 ,"1. When the inbound EDI 943 has jumbled line numbers or product IDs, sort items by product ID and line number to ensure proper grouping in JDA.
2. Inbound 943 transactions include pallet-level identifiers (N9*LV) ,Batch split indicators(N9*BS)  and Batch Number (N9*BT)"
JDA,846,AMC_SEABOARD_FOODS_OB_846_5010 ,"Base Maps for EDI 846 Outbound transaction to JDA (Contains about  60-70% of generic mappings)-
Grouping logic added for same lot/status/date combination. Based on UOM, the weights were summed up."
JDA,944,AMC_SEABOARD_FOODS_OB_944_5010 ,"Base Maps for EDI 944 Outbound transaction to JDA (Contains about  60-70% of generic mappings)- Having quantity greater than zero logic , grouped based on Pallet Number and Product Code."
JDA,944,AMC_CARGILL_OB_944_JDA_5010,If partner ask Pallet info MAN*GM info use this map.
JDA ,944,AMC_TR_TRIDENT_SEAFOODS_OB_944_4010,"Pallet-level identifiers (N9*LV) , Batch split indicators(N9*BS) and Batch Number (N9*BT) inculded"
JDA ,940,AMC_SIMPLOT_IB_940_4010,Following generic 940 IB structure with generic logics.
JDA ,940,AMC_TR_VENTURA_FOODS_IB_940_4010,"1. Logic to populate New, Revision & Cancellation Order to JDA and Non Allocation Flag to 1 when there is a Chep at the Line item level.
2. TMS Flag Logic to populate 1 or 0 using codelist (AMC_TMSFLAG_IB_JDA)"
JDA ,940,AMC_TYSON_IB_940_4010,N9*PIN (Asset Type) at Header Level using CL (AMC_CL_AssetCodes_Generic) codelist to populate Americold Chep item
JDA ,945,AMC_TR_SEABOARD_FOODS_OB_945_5010,"Base Maps for EDI 945 Outbound transaction to JDA (Contains about  60-70% of generic mappings)
Contains MAN*GM  and SSCC grouping Logics."
JDA + P2,945,AMC_TYSON_OB_945_4010,"N9*LV (Pallet ), N9 *PC ( DateCode) and Customer Asset Type using AMC_CL_AssetCodes_Generic codelist to populate the values

Use this mapping as the reference when MAN segment not needed 
instead pallet send in N9.LV below item level

Multiple WMS logic map"
JDA ,947,AMC_TR_SEABOARD_FOODS_OB_947_5010,"If the customers expect the customer-specific hold code, refer this map. Uses customer/CODELIST-driven reason code lookup (AMC_CL_HoldReasonCode_Generic) to validate the adjustment type per customer; if the AdjustmentReasonCode doesn't match the expected code, the flow is dropped."
JDA ,947,AMC_TYSON_IB_947_4010,The core X12 947 structure (W15 header → N1 WH loop → W19 item detail → N9 references) follows the standard transaction set.Any new 947 outbound build can start from this same skeleton.
